# ./multi_result/hh_3.txt
# dt = 25 [usec]
# t [usec], V [mV]
2570, -64.952817, -64.952817, -64.952817, -64.952817
2600, -64.952605, -64.952605, -64.952605, -64.952605
2620, -64.952396, -64.952396, -64.952396, -64.952396
2650, -64.952192, -64.952192, -64.952192, -64.952192
2670, -64.951992, -64.951992, -64.951992, -64.951992
2700, -64.951797, -64.951797, -64.951797, -64.951797
2720, -64.951606, -64.951606, -64.951606, -64.951606
2750, -64.951419, -64.951419, -64.951419, -64.951419
2770, -64.951236, -64.951236, -64.951236, -64.951236
2800, -64.951058, -64.951058, -64.951058, -64.951058
2820, -64.950884, -64.950884, -64.950884, -64.950884
2850, -64.950714, -64.950714, -64.950714, -64.950714
2870, -64.950549, -64.950549, -64.950549, -64.950549
2900, -64.950387, -64.950387, -64.950387, -64.950387
2920, -64.950230, -64.950230, -64.950230, -64.950230
2950, -64.950077, -64.950077, -64.950077, -64.950077
2970, -64.949928, -64.949928, -64.949928, -64.949928
3000, -64.949783, -64.949783, -64.949783, -64.949783
3020, -64.949642, -64.949642, -64.949642, -64.949642
3050, -64.949505, -64.949505, -64.949505, -64.949505
3070, -64.949372, -64.949372, -64.949372, -64.949372
3100, -64.949243, -64.949243, -64.949243, -64.949243
3120, -64.949119, -64.949119, -64.949119, -64.949119
3150, -64.948998, -64.948998, -64.948998, -64.948998
3170, -64.948881, -64.948881, -64.948881, -64.948881
3200, -64.948768, -64.948768, -64.948768, -64.948768
3220, -64.948658, -64.948658, -64.948658, -64.948658
3250, -64.948553, -64.948553, -64.948553, -64.948553
3270, -64.948452, -64.948452, -64.948452, -64.948452
3300, -64.948354, -64.948354, -64.948354, -64.948354
3320, -64.948260, -64.948260, -64.948260, -64.948260
3350, -64.948170, -64.948170, -64.948170, -64.948170
3370, -64.948084, -64.948084, -64.948084, -64.948084
3400, -64.948001, -64.948001, -64.948001, -64.948001
3420, -64.947922, -64.947922, -64.947922, -64.947922
3450, -64.947847, -64.947847, -64.947847, -64.947847
3470, -64.947775, -64.947775, -64.947775, -64.947775
3500, -64.947707, -64.947707, -64.947707, -64.947707
3520, -64.947643, -64.947643, -64.947643, -64.947643
3550, -64.947582, -64.947582, -64.947582, -64.947582
3570, -64.947524, -64.947524, -64.947524, -64.947524
3600, -64.947471, -64.947471, -64.947471, -64.947471
3620, -64.947420, -64.947420, -64.947420, -64.947420
3650, -64.947373, -64.947373, -64.947373, -64.947373
3670, -64.947330, -64.947330, -64.947330, -64.947330
3700, -64.947290, -64.947290, -64.947290, -64.947290
3720, -64.947253, -64.947253, -64.947253, -64.947253
3750, -64.947220, -64.947220, -64.947220, -64.947220
3770, -64.947189, -64.947189, -64.947189, -64.947189
3800, -64.947163, -64.947163, -64.947163, -64.947163
3820, -64.947139, -64.947139, -64.947139, -64.947139
3850, -64.947119, -64.947119, -64.947119, -64.947119
3870, -64.947102, -64.947102, -64.947102, -64.947102
3900, -64.947088, -64.947088, -64.947088, -64.947088
3920, -64.947077, -64.947077, -64.947077, -64.947077
3950, -64.947069, -64.947069, -64.947069, -64.947069
3970, -64.947065, -64.947065, -64.947065, -64.947065
4000, -64.947063, -64.947063, -64.947063, -64.947063
4020, -64.947065, -64.947065, -64.947065, -64.947065
4050, -64.947069, -64.947069, -64.947069, -64.947069
4070, -64.947077, -64.947077, -64.947077, -64.947077
4100, -64.947087, -64.947087, -64.947087, -64.947087
4120, -64.947101, -64.947101, -64.947101, -64.947101
4150, -64.947117, -64.947117, -64.947117, -64.947117
4170, -64.947136, -64.947136, -64.947136, -64.947136
4200, -64.947158, -64.947158, -64.947158, -64.947158
4220, -64.947183, -64.947183, -64.947183, -64.947183
4250, -64.947211, -64.947211, -64.947211, -64.947211
4270, -64.947241, -64.947241, -64.947241, -64.947241
4300, -64.947274, -64.947274, -64.947274, -64.947274
4320, -64.947310, -64.947310, -64.947310, -64.947310
4350, -64.947348, -64.947348, -64.947348, -64.947348
4370, -64.947389, -64.947389, -64.947389, -64.947389
4400, -64.947433, -64.947433, -64.947433, -64.947433
4420, -64.947479, -64.947479, -64.947479, -64.947479
4450, -64.947527, -64.947527, -64.947527, -64.947527
4470, -64.947579, -64.947579, -64.947579, -64.947579
4500, -64.947632, -64.947632, -64.947632, -64.947632
4520, -64.947688, -64.947688, -64.947688, -64.947688
4550, -64.947747, -64.947747, -64.947747, -64.947747
4570, -64.947808, -64.947808, -64.947808, -64.947808
4600, -64.947871, -64.947871, -64.947871, -64.947871
4620, -64.947937, -64.947937, -64.947937, -64.947937
4650, -64.948005, -64.948005, -64.948005, -64.948005
4670, -64.948075, -64.948075, -64.948075, -64.948075
4700, -64.948148, -64.948148, -64.948148, -64.948148
4720, -64.948222, -64.948222, -64.948222, -64.948222
4750, -64.948299, -64.948299, -64.948299, -64.948299
4770, -64.948378, -64.948378, -64.948378, -64.948378
4800, -64.948459, -64.948459, -64.948459, -64.948459
4820, -64.948543, -64.948543, -64.948543, -64.948543
