# hh_impl_0010.txt
# dt = 10 [usec]
# t [usec], V [mV]
0, -65.000000
10, -64.999699
20, -64.999400
30, -64.999102
40, -64.998807
49, -64.998513
59, -64.998221
69, -64.997931
80, -64.997643
90, -64.997356
100, -64.997070
110, -64.996786
120, -64.996504
130, -64.996223
140, -64.995943
150, -64.995665
160, -64.995388
170, -64.995113
180, -64.994839
190, -64.994566
200, -64.994294
210, -64.994023
220, -64.993754
230, -64.993486
240, -64.993219
250, -64.992953
260, -64.992688
270, -64.992424
280, -64.992161
290, -64.991899
300, -64.991639
310, -64.991379
320, -64.991120
330, -64.990862
340, -64.990606
350, -64.990350
360, -64.990095
370, -64.989841
380, -64.989588
390, -64.989336
400, -64.989084
410, -64.988834
420, -64.988585
430, -64.988336
440, -64.988088
450, -64.987841
460, -64.987595
470, -64.987350
480, -64.987106
490, -64.986862
500, -64.986619
510, -64.986378
520, -64.986136
530, -64.985896
540, -64.985657
550, -64.985418
560, -64.985180
570, -64.984943
580, -64.984707
590, -64.984471
600, -64.984237
610, -64.984003
620, -64.983770
630, -64.983537
640, -64.983306
650, -64.983075
660, -64.982845
670, -64.982615
680, -64.982387
690, -64.982159
700, -64.981932
710, -64.981706
720, -64.981480
730, -64.981256
740, -64.981032
750, -64.980809
760, -64.980586
770, -64.980364
780, -64.980143
790, -64.979923
800, -64.979704
810, -64.979485
820, -64.979267
830, -64.979050
840, -64.978834
850, -64.978618
860, -64.978403
870, -64.978189
880, -64.977976
890, -64.977763
900, -64.977551
910, -64.977340
920, -64.977130
930, -64.976920
940, -64.976711
950, -64.976503
960, -64.976296
970, -64.976089
980, -64.975883
990, -64.975678
1000, -64.975474
1010, -64.975270
1020, -64.975067
1030, -64.974865
1039, -64.974664
1049, -64.974463
1059, -64.974263
1069, -64.974064
1079, -64.973866
1089, -64.973668
1099, -64.973471
1109, -64.973275
1119, -64.973080
1129, -64.972885
1139, -64.972691
1149, -64.972498
1159, -64.972306
1169, -64.972115
1179, -64.971924
1189, -64.971734
1199, -64.971544
1209, -64.971356
1219, -64.971168
1229, -64.970981
1239, -64.970795
1249, -64.970610
1259, -64.970425
1269, -64.970241
1279, -64.970058
1289, -64.969875
1299, -64.969694
1309, -64.969513
1319, -64.969332
1329, -64.969153
1339, -64.968974
1349, -64.968797
1359, -64.968619
1369, -64.968443
1379, -64.968268
1389, -64.968093
1399, -64.967919
1409, -64.967745
1419, -64.967573
1429, -64.967401
1439, -64.967230
1449, -64.967060
1459, -64.966890
1469, -64.966722
1479, -64.966554
1489, -64.966387
1499, -64.966220
1509, -64.966055
1519, -64.965890
1529, -64.965726
1539, -64.965562
1549, -64.965400
1559, -64.965238
1569, -64.965077
1579, -64.964916
1589, -64.964757
1599, -64.964598
1609, -64.964440
1619, -64.964283
1629, -64.964126
1639, -64.963971
1649, -64.963816
1659, -64.963662
1669, -64.963508
1679, -64.963356
1689, -64.963204
1699, -64.963053
1709, -64.962902
1719, -64.962753
1729, -64.962604
1739, -64.962456
1749, -64.962308
1759, -64.962162
1769, -64.962016
1779, -64.961871
1789, -64.961727
1799, -64.961583
1809, -64.961441
1819, -64.961299
1829, -64.961157
1839, -64.961017
1849, -64.960877
1859, -64.960738
1869, -64.960600
1879, -64.960463
1889, -64.960326
1899, -64.960190
1909, -64.960055
1919, -64.959921
1929, -64.959787
1939, -64.959654
1949, -64.959522
1959, -64.959391
1969, -64.959260
1979, -64.959130
1989, -64.959001
1999, -64.958873
2009, -64.958745
2019, -64.958618
2029, -64.958492
2039, -64.958367
2049, -64.958242
2059, -64.958118
2069, -64.957995
2079, -64.957873
2089, -64.957751
2099, -64.957631
2109, -64.957510
2119, -64.957391
2129, -64.957273
2139, -64.957155
2149, -64.957038
2159, -64.956921
2169, -64.956806
2179, -64.956691
2189, -64.956577
2199, -64.956463
2209, -64.956351
2219, -64.956239
2229, -64.956127
2239, -64.956017
2249, -64.955907
2259, -64.955798
2269, -64.955690
2279, -64.955583
2289, -64.955476
2299, -64.955370
2309, -64.955265
2319, -64.955160
2329, -64.955056
2339, -64.954953
2349, -64.954851
2359, -64.954749
2369, -64.954648
2379, -64.954548
2389, -64.954449
2399, -64.954350
2409, -64.954252
2419, -64.954155
2429, -64.954058
2439, -64.953962
2449, -64.953867
2459, -64.953773
2469, -64.953679
2479, -64.953586
2489, -64.953494
2499, -64.953402
2509, -64.953311
2519, -64.953221
2529, -64.953132
2539, -64.953043
2549, -64.952955
2559, -64.952868
2569, -64.952781
2579, -64.952695
2589, -64.952610
2599, -64.952526
2609, -64.952442
2619, -64.952359
2629, -64.952277
2639, -64.952195
2649, -64.952114
2659, -64.952034
2669, -64.951954
2679, -64.951876
2689, -64.951797
2699, -64.951720
2709, -64.951643
2719, -64.951567
2729, -64.951492
2739, -64.951417
2749, -64.951343
2759, -64.951270
2769, -64.951197
2779, -64.951125
2789, -64.951054
2799, -64.950983
2809, -64.950913
2819, -64.950844
2829, -64.950775
2839, -64.950707
2849, -64.950640
2859, -64.950574
2869, -64.950508
2879, -64.950443
2889, -64.950378
2899, -64.950314
2909, -64.950251
2919, -64.950188
2929, -64.950127
2939, -64.950065
2949, -64.950005
2959, -64.949945
2969, -64.949886
2979, -64.949827
2989, -64.949769
2999, -64.949712
3009, -64.949655
3019, -64.949599
3029, -64.949544
3039, -64.949489
3049, -64.949435
3059, -64.949382
3069, -64.949329
3079, -64.949277
3089, -64.949226
3099, -64.949175
3109, -64.949125
3119, -64.949075
3129, -64.949026
3139, -64.948978
3149, -64.948931
3159, -64.948884
3169, -64.948837
3179, -64.948791
3189, -64.948746
3199, -64.948702
3209, -64.948658
3219, -64.948615
3229, -64.948572
3239, -64.948530
3249, -64.948489
3259, -64.948448
3269, -64.948408
3279, -64.948368
3289, -64.948329
3299, -64.948291
3309, -64.948253
3319, -64.948216
3329, -64.948179
3339, -64.948144
3349, -64.948108
3359, -64.948074
3369, -64.948039
3379, -64.948006
3389, -64.947973
3399, -64.947941
3409, -64.947909
3419, -64.947878
3429, -64.947847
3439, -64.947817
3449, -64.947788
3459, -64.947759
3469, -64.947731
3479, -64.947703
3489, -64.947676
3499, -64.947649
3509, -64.947624
3519, -64.947598
3529, -64.947573
3539, -64.947549
3549, -64.947526
3559, -64.947502
3569, -64.947480
3579, -64.947458
3589, -64.947437
3599, -64.947416
3609, -64.947396
3619, -64.947376
3629, -64.947357
3639, -64.947338
3649, -64.947320
3659, -64.947302
3669, -64.947285
3679, -64.947269
3689, -64.947253
3699, -64.947238
3709, -64.947223
3719, -64.947209
3729, -64.947195
3739, -64.947182
3749, -64.947169
3759, -64.947157
3769, -64.947145
3779, -64.947134
3789, -64.947124
3799, -64.947114
3809, -64.947104
3819, -64.947095
3829, -64.947087
3839, -64.947079
3849, -64.947072
3859, -64.947065
3869, -64.947058
3879, -64.947052
3889, -64.947047
3899, -64.947042
3909, -64.947038
3919, -64.947034
3929, -64.947030
3939, -64.947028
3949, -64.947025
3959, -64.947023
3969, -64.947022
3979, -64.947021
3989, -64.947021
3999, -64.947021
4009, -64.947021
4019, -64.947022
4029, -64.947024
4039, -64.947026
4049, -64.947028
4059, -64.947031
4069, -64.947035
4079, -64.947039
4089, -64.947043
4099, -64.947048
4109, -64.947053
4119, -64.947059
4129, -64.947065
4139, -64.947072
4149, -64.947079
4159, -64.947087
4169, -64.947095
4179, -64.947103
4189, -64.947112
4199, -64.947122
4209, -64.947132
4219, -64.947142
4229, -64.947153
4239, -64.947164
4249, -64.947176
4259, -64.947188
4269, -64.947201
4279, -64.947213
4289, -64.947227
4299, -64.947241
4309, -64.947255
4319, -64.947270
4329, -64.947285
4339, -64.947300
4349, -64.947316
4359, -64.947333
4369, -64.947350
4379, -64.947367
4389, -64.947385
4399, -64.947403
4409, -64.947421
4419, -64.947440
4429, -64.947459
4439, -64.947479
4449, -64.947499
4459, -64.947520
4469, -64.947540
4479, -64.947562
4489, -64.947583
4499, -64.947606
4509, -64.947628
4519, -64.947651
4529, -64.947674
4539, -64.947698
4549, -64.947722
4559, -64.947746
4569, -64.947771
4579, -64.947796
4589, -64.947822
4599, -64.947848
4609, -64.947874
4619, -64.947901
4629, -64.947928
4639, -64.947955
4649, -64.947983
4659, -64.948011
4669, -64.948040
4679, -64.948068
4689, -64.948098
4699, -64.948127
4709, -64.948157
4719, -64.948187
4729, -64.948218
4739, -64.948249
4749, -64.948280
4759, -64.948312
4769, -64.948344
4779, -64.948376
4789, -64.948409
4799, -64.948442
4809, -64.948475
4819, -64.948509
4829, -64.948543
4839, -64.948578
4849, -64.948612
4859, -64.948647
4869, -64.948683
4879, -64.948718
4889, -64.948754
4899, -64.948791
4909, -64.948827
4919, -64.948864
4929, -64.948901
4939, -64.948939
4949, -64.948977
4959, -64.949015
4969, -64.949053
4979, -64.949092
4989, -64.949131
4999, -64.949171
5009, -64.949210
5019, -64.949250
5029, -64.949291
5039, -64.949331
5049, -64.949372
5059, -64.949413
5069, -64.949455
5079, -64.949496
5089, -64.949538
5099, -64.949581
5109, -64.949623
5119, -64.949666
5129, -64.949709
5139, -64.949753
5149, -64.949796
5159, -64.949840
5169, -64.949884
5179, -64.949929
5189, -64.949974
5199, -64.950019
5209, -64.950064
5219, -64.950109
5229, -64.950155
5239, -64.950201
5249, -64.950248
5259, -64.950294
5269, -64.950341
5279, -64.950388
5289, -64.950435
5299, -64.950483
5309, -64.950531
5319, -64.950579
5329, -64.950627
5339, -64.950675
5349, -64.950724
5359, -64.950773
5369, -64.950822
5379, -64.950872
5389, -64.950921
5399, -64.950971
5409, -64.951021
5419, -64.951072
5429, -64.951122
5439, -64.951173
5449, -64.951224
5459, -64.951275
5469, -64.951327
5479, -64.951378
5489, -64.951430
5499, -64.951482
5509, -64.951534
5519, -64.951587
5529, -64.951640
5539, -64.951692
5549, -64.951746
5559, -64.951799
5569, -64.951852
5579, -64.951906
5589, -64.951960
5599, -64.952014
5609, -64.952068
5619, -64.952123
5629, -64.952177
5639, -64.952232
5649, -64.952287
5659, -64.952342
5669, -64.952398
5679, -64.952453
5689, -64.952509
5699, -64.952565
5709, -64.952621
5719, -64.952677
5729, -64.952733
5739, -64.952790
5749, -64.952847
5759, -64.952904
5769, -64.952961
5779, -64.953018
5789, -64.953075
5799, -64.953133
5809, -64.953191
5819, -64.953248
5829, -64.953306
5839, -64.953365
5849, -64.953423
5859, -64.953481
5869, -64.953540
5879, -64.953599
5889, -64.953658
5899, -64.953717
5909, -64.953776
5919, -64.953835
5929, -64.953895
5939, -64.953954
5949, -64.954014
5959, -64.954074
5969, -64.954134
5979, -64.954194
5989, -64.954254
5999, -64.954315
6009, -64.954375
6019, -64.954436
6029, -64.954496
6039, -64.954557
6049, -64.954618
6059, -64.954679
6069, -64.954741
6079, -64.954802
6089, -64.954863
6099, -64.954925
6109, -64.954987
6119, -64.955048
6129, -64.955110
6139, -64.955172
6149, -64.955234
6159, -64.955296
6169, -64.955359
6179, -64.955421
6189, -64.955484
6199, -64.955546
6209, -64.955609
6219, -64.955671
6229, -64.955734
6239, -64.955797
6249, -64.955860
6259, -64.955923
6269, -64.955987
6279, -64.956050
6289, -64.956113
6299, -64.956177
6309, -64.956240
6319, -64.956304
6329, -64.956367
6339, -64.956431
6349, -64.956495
6359, -64.956559
6369, -64.956623
6379, -64.956687
6389, -64.956751
6399, -64.956815
6409, -64.956879
6419, -64.956943
6429, -64.957008
6439, -64.957072
6449, -64.957137
6459, -64.957201
6469, -64.957266
6479, -64.957330
6489, -64.957395
6499, -64.957460
6509, -64.957524
6519, -64.957589
6529, -64.957654
6539, -64.957719
6549, -64.957784
6559, -64.957849
6569, -64.957914
6579, -64.957979
6589, -64.958044
6599, -64.958109
6609, -64.958175
6619, -64.958240
6629, -64.958305
6639, -64.958370
6649, -64.958436
6659, -64.958501
6669, -64.958566
6679, -64.958632
6689, -64.958697
6699, -64.958763
6709, -64.958828
6719, -64.958894
6729, -64.958959
6739, -64.959025
6749, -64.959090
6759, -64.959156
6769, -64.959222
6779, -64.959287
6789, -64.959353
6799, -64.959418
6809, -64.959484
6819, -64.959550
6829, -64.959615
6839, -64.959681
6849, -64.959747
6859, -64.959812
6869, -64.959878
6879, -64.959944
6889, -64.960010
6899, -64.960075
6909, -64.960141
6919, -64.960207
6929, -64.960272
6939, -64.960338
6949, -64.960404
6959, -64.960469
6969, -64.960535
6979, -64.960601
6989, -64.960666
6999, -64.960732
7009, -64.960797
7019, -64.960863
7029, -64.960929
7039, -64.960994
7049, -64.961060
7059, -64.961125
7069, -64.961191
7079, -64.961256
7089, -64.961322
7099, -64.961387
7109, -64.961452
7119, -64.961518
7129, -64.961583
7139, -64.961648
7149, -64.961714
7159, -64.961779
7169, -64.961844
7179, -64.961909
7189, -64.961975
7199, -64.962040
7209, -64.962105
7219, -64.962170
7229, -64.962235
7239, -64.962300
7249, -64.962365
7259, -64.962430
7269, -64.962495
7279, -64.962559
7289, -64.962624
7299, -64.962689
7309, -64.962753
7319, -64.962818
7329, -64.962883
7339, -64.962947
7349, -64.963012
7359, -64.963076
7369, -64.963140
7379, -64.963205
7389, -64.963269
7399, -64.963333
7409, -64.963397
7419, -64.963462
7429, -64.963526
7439, -64.963590
7449, -64.963653
7459, -64.963717
7469, -64.963781
7479, -64.963845
7489, -64.963909
7499, -64.963972
7509, -64.964036
7519, -64.964099
7529, -64.964163
7539, -64.964226
7549, -64.964289
7559, -64.964352
7569, -64.964416
7579, -64.964479
7589, -64.964542
7599, -64.964604
7609, -64.964667
7619, -64.964730
7629, -64.964793
7639, -64.964855
7649, -64.964918
7659, -64.964980
7669, -64.965043
7679, -64.965105
7689, -64.965167
7699, -64.965229
7709, -64.965291
7719, -64.965353
7729, -64.965415
7739, -64.965477
7749, -64.965539
7759, -64.965600
7769, -64.965662
7779, -64.965723
7789, -64.965785
7799, -64.965846
7809, -64.965907
7819, -64.965968
7829, -64.966029
7839, -64.966090
7849, -64.966151
7859, -64.966211
7869, -64.966272
7879, -64.966333
7889, -64.966393
7899, -64.966453
7909, -64.966513
7919, -64.966574
7929, -64.966634
7939, -64.966693
7949, -64.966753
7959, -64.966813
7969, -64.966873
7979, -64.966932
7989, -64.966992
7999, -64.967051
8009, -64.967110
8019, -64.967169
8029, -64.967228
8039, -64.967287
8049, -64.967346
8059, -64.967404
8069, -64.967463
8079, -64.967521
8089, -64.967580
8099, -64.967638
8109, -64.967696
8119, -64.967754
