# ./result/hh_runge_0480.txt
# dt = 480 [usec]
# t [usec], V [mV]
0, -65.000000
480, -64.989015
960, -64.979837
1440, -64.972034
1920, -64.965516
2400, -64.960255
2880, -64.956213
3360, -64.953330
3840, -64.951517
4320, -64.950669
4800, -64.950665
5280, -64.951378
5760, -64.952677
6240, -64.954430
6720, -64.956514
7200, -64.958814
7680, -64.961224
8160, -64.963651
8640, -64.966018
9120, -64.968259
9600, -64.970323
10080, -64.972173
10560, -64.973784
11040, -64.975142
11520, -64.976243
12000, -64.977093
12480, -64.977704
12960, -64.978093
13440, -64.978282
13920, -64.978297
14400, -64.978164
14880, -64.977909
15360, -64.977560
15840, -64.977142
16320, -64.976679
16800, -64.976191
17280, -64.975699
17760, -64.975219
18240, -64.974762
18720, -64.974342
19200, -64.973964
19680, -64.973634
20160, -64.973356
20640, -64.973130
21120, -64.972955
21600, -64.972829
22080, -64.972748
22560, -64.972708
23040, -64.972704
23520, -64.972731
24000, -64.972783
24480, -64.972854
24960, -64.972940
25440, -64.973035
25920, -64.973136
26400, -64.973238
26880, -64.973337
27360, -64.973432
27840, -64.973519
28320, -64.973598
28800, -64.973667
29280, -64.973726
29760, -64.973773
30240, -64.973811
30720, -64.973838
31200, -64.973856
31680, -64.973865
32160, -64.973867
32640, -64.973863
33120, -64.973853
33600, -64.973839
34080, -64.973822
34560, -64.973803
35040, -64.973783
35520, -64.973763
36000, -64.973743
36480, -64.973724
36960, -64.973706
37440, -64.973690
37920, -64.973676
38400, -64.973665
38880, -64.973655
39360, -64.973648
39840, -64.973642
40320, -64.973638
40800, -64.973637
41280, -64.973636
41760, -64.973637
42240, -64.973639
42720, -64.973642
43200, -64.973646
43680, -64.973650
44160, -64.973654
44640, -64.973658
45120, -64.973663
45600, -64.973667
46080, -64.973670
46560, -64.973674
47040, -64.973677
47520, -64.973679
48000, -64.973681
48480, -64.973683
48960, -64.973684
49440, -64.973685
49920, -64.973686
50400, -53.451380
50880, -39.829170
51360, 2.113686
51840, 28.577389
52320, -30.002682
52800, -29.391702
53280, -30.609553
53760, -36.677314
54240, -46.715579
54720, -59.545570
55200, -68.240363
55680, -69.788653
56160, -69.303800
56640, -68.264043
57120, -66.985762
57600, -65.555958
58080, -64.042739
58560, -62.502754
59040, -60.971599
59520, -59.464889
60000, -57.968530
60480, -56.444960
60960, -54.805009
61440, -52.890495
61920, -50.353413
62400, -46.306313
62880, -38.159360
63360, -19.336352
63840, 3.580608
64320, -7.251695
64800, -23.856751
65280, -39.980645
65760, -55.021741
66240, -67.296624
66720, -70.260061
67200, -70.003016
67680, -69.088281
68160, -68.017820
68640, -66.773553
69120, -65.370332
69600, -63.874342
70080, -62.346798
70560, -60.825894
71040, -59.326418
71520, -57.834961
72000, -56.309523
72480, -54.660979
72960, -52.719660
73440, -50.116549
73920, -45.910740
74400, -37.317007
74880, -17.618697
75360, 3.983016
75840, -8.384710
76320, -25.128896
76800, -41.100367
77280, -56.126322
77760, -67.798017
78240, -70.294637
78720, -69.933928
79200, -69.005772
79680, -67.926728
80160, -66.670684
80640, -65.258897
81120, -63.759163
81600, -62.231218
82080, -60.712102
82560, -59.213856
83040, -57.722390
83520, -56.190896
84000, -54.529142
84480, -52.555024
84960, -49.875228
85440, -45.475139
85920, -36.322189
86400, -15.588712
86880, 4.312472
87360, -9.540709
87840, -26.462761
88320, -42.297767
88800, -57.312792
89280, -68.279031
89760, -70.334561
90240, -69.871766
90720, -68.926883
91200, -67.836815
91680, -66.568210
92160, -65.147873
92640, -63.644549
93120, -62.116283
93600, -60.598932
94080, -59.101700
94560, -57.609840
95040, -56.071554
95520, -54.395401
96000, -52.386132
96480, -49.624454
96960, -45.006260
97440, -35.248843
97920, -13.506059
98400, 4.354942
98880, -10.645604
99360, -27.753928
99840, -43.479983
100320, -58.478368
100800, -68.692695
101280, -70.371294
101760, -69.818887
102240, -68.855296
102720, -67.751307
103200, -66.469175
103680, -65.040211
104160, -63.533383
104640, -62.004827
105120, -60.489201
105600, -58.992856
106080, -57.500293
106560, -55.955009
107040, -54.262301
107520, -52.216620
108000, -49.370788
108480, -44.528987
108960, -34.125180
109440, -11.444225
109920, 4.117604
110400, -11.700760
110880, -28.968100
111360, -44.607011
111840, -59.572356
112320, -69.030938
112800, -70.399565
113280, -69.772935
113760, -68.790719
114240, -67.671442
114720, -66.375663
115200, -64.938376
115680, -63.428114
116160, -61.899364
116640, -60.384608
117120, -58.889141
117600, -57.393906
118080, -55.841604
118560, -54.129623
119040, -52.046587
119520, -49.115071
120000, -44.046249
120480, -33.000844
120960, -9.533963
121440, 3.615518
121920, -12.705115
122400, -30.078558
122880, -45.646175
123360, -60.553901
123840, -69.293912
124320, -70.416688
124800, -69.731826
125280, -68.732023
125760, -67.596675
126240, -66.287285
126720, -64.841972
127200, -63.328377
127680, -61.799516
128160, -60.285607
128640, -58.791022
129120, -57.293225
129600, -55.734230
130080, -54.003795
130560, -51.885052
131040, -48.862639
131520, -43.553359
132000, -31.825318
132480, -7.670412
132960, 2.910083
133440, -13.719078
133920, -31.139357
134400, -46.640346
134880, -61.461827
135360, -69.506322
135840, -70.421095
136320, -69.688960
136800, -68.673931
137280, -67.523292
137760, -66.201050
138240, -64.748296
138720, -63.231715
139200, -61.702916
139680, -60.189915
140160, -58.696240
140640, -57.195937
141120, -55.630421
141600, -53.881950
142080, -51.721031
142560, -48.599362
143040, -43.023669
143520, -30.568217
144000, -5.848019
144480, 1.981662
144960, -14.792617
145440, -32.195947
145920, -47.628996
146400, -62.326774
146880, -69.681288
147360, -70.410941
147840, -69.639533
148320, -68.611509
148800, -67.446115
149280, -66.111366
149760, -64.651484
150240, -63.132173
150720, -61.603683
151200, -60.091770
151680, -58.599169
152160, -57.096381
152640, -55.524304
153120, -53.757456
153600, -51.553113
154080, -48.329421
154560, -42.481038
155040, -29.270365
155520, -4.143107
156000, 0.898116
156480, -15.898284
156960, -33.222405
157440, -48.587126
157920, -63.123884
158400, -69.819856
158880, -70.386708
159360, -69.583714
159840, -68.545428
160320, -67.366621
160800, -66.020320
161280, -64.553959
161760, -63.032333
162240, -61.504438
162720, -59.993798
163200, -58.502329
163680, -56.997157
164160, -55.418589
164640, -53.633525
165120, -51.385940
165600, -48.060549
166080, -41.941953
166560, -28.005401
167040, -2.671087
167520, -0.242877
168000, -16.988191
168480, -34.188396
168960, -49.487730
169440, -63.832223
169920, -69.924097
170400, -70.350520
170880, -69.523208
171360, -68.477355
171840, -67.286789
172320, -65.930182
172800, -64.458041
173280, -62.934599
173760, -61.407245
174240, -59.898110
174720, -58.406567
175200, -56.899202
175680, -55.311248
176160, -53.507442
176640, -51.215964
177120, -47.787269
177600, -41.375958
178080, -26.669724
178560, -1.285390
179040, -1.453143
179520, -18.118985
180000, -35.157577
180480, -50.392785
180960, -64.504183
181440, -70.009205
181920, -70.304193
182400, -69.456501
182880, -68.404891
183360, -67.203698
183840, -65.837647
184320, -64.360278
184800, -62.835424
185280, -61.308694
185760, -59.801269
186240, -58.309755
186720, -56.800234
187200, -55.202726
187680, -53.379840
188160, -51.043587
188640, -47.509605
189120, -40.795880
189600, -25.323237
190080, -0.069974
190560, -2.668358
191040, -19.256170
191520, -36.113147
192000, -51.290202
192480, -65.129247
192960, -70.076891
193440, -70.250606
193920, -69.386054
194400, -68.329784
194880, -67.118747
195360, -65.743974
195840, -64.261905
196320, -62.735993
196800, -61.210104
197280, -59.704543
197760, -58.213113
198240, -56.701472
198720, -55.094356
199200, -53.252321
199680, -50.871081
200160, -47.220507
200640, -40.188856
201120, -23.928267
201600, 1.017683
202080, -3.879511
202560, -20.412876
203040, -37.077354
203520, -52.204031
204000, -65.723615
204480, -70.132448
204960, -70.190309
205440, -69.311388
205920, -68.251394
206400, -67.031243
206880, -65.648428
207360, -64.162151
207840, -62.635524
208320, -61.110689
208800, -59.607126
209280, -58.115783
209760, -56.601953
210240, -54.984954
210720, -53.122504
211200, -50.694667
211680, -46.919754
212160, -39.549387
212640, -22.478989
213120, 1.966616
213600, -5.057064
214080, -21.573440
214560, -38.046404
215040, -53.132893
215520, -66.284322
216000, -70.179032
216480, -70.126421
216960, -69.234881
217440, -68.171517
217920, -66.942782
218400, -65.552488
218880, -64.062490
219360, -62.535478
219840, -61.011880
220320, -59.510409
220800, -58.019130
221280, -56.503037
221760, -54.875955
222240, -52.987753
222720, -50.508414
223200, -46.599134
223680, -38.844581
224160, -20.906277
224640, 2.815207
225120, -6.238345
225600, -22.785556
226080, -39.068579
226560, -54.124607
227040, -66.834354
227520, -70.220955
228000, -70.058397
228480, -69.154707
228960, -68.087487
229440, -66.849945
229920, -65.452246
230400, -63.958748
230880, -62.431447
231360, -60.909298
231840, -59.409027
232320, -57.917779
232800, -56.397055
233280, -54.758697
233760, -52.842290
234240, -50.297126
234720, -46.230090
235200, -38.030973
235680, -19.135550
236160, 3.537306
236640, -7.446007
237120, -24.082445
237600, -40.182718
238080, -55.218004
238560, -67.383570
239040, -70.262103
239520, -69.987620
240000, -69.070735
240480, -67.997830
240960, -66.750354
241440, -65.344843
241920, -63.847822
242400, -62.320119
242880, -60.799636
243360, -59.300526
243840, -57.809235
244320, -56.282702
244800, -54.631625
245280, -52.683731
245760, -50.065075
246240, -45.822177
246720, -37.118659
247200, -17.213898
247680, 4.060606
248160, -8.630989
248640, -25.410792
249120, -41.352181
